Freq	Flux	Error
1.5	0.00228	0.000228
1.5	0.0028	0.0009
1.7	0.004	0.0004
5.	0.0042	0.00042
5.	0.0035	0.0005
5.	0.003	0.0003
5.	0.00469	0.000469
5.	0.0043	0.0005
5.	0.005	0.0005
5.	0.0041	0.0004
8.	0.0047	0.0005
14.62	0.00474	0.00025
15.	0.00225	0.000225
15.	0.00459	0.000459
15.	0.0049	0.0005
15.	0.0036	0.0002
15.	0.0028	0.0002
15.	0.0033	0.0002
15.	0.0027	0.0002
15.37	0.00437	0.0002442989
16.12	0.00479	0.0002829791
16.87	0.00482	0.00027864
17.62	0.00548	0.0003072809
22.485	0.017	0.004
22.5	0.0073	0.0015
23.71	0.007	0.0014
88.	0.09	0.03
90.	0.123	0.0123
98.	0.131	0.004
110.	0.13	0.03
112.	0.15	0.01
113.	0.17	0.017
230.	1.5	0.15
230.	1.569	0.23
230.6	3.4	0.34
240.	2.37	0.48
250.	1.72	0.172
300.	5.7	1.3
345.	6.363	0.63
352.9	19.01	1.901
352.9	12.1	1.
399.7	18.2	2.4
666.2	94.0	19.
856.5	164.0	49.
2997.9	458.0	45.8
