Freq	Flux	Error
1.5	0.0045	0.0005
1.5	0.0095	0.00049
5.	0.0095	0.0008
5.	0.0079	0.00048
5.	0.0076	0.0003
5.	0.0022	0.00022
8.	0.0075	0.00017
Freq	Flux	Error
8.	0.00754	0.000754
14.62	0.00821	0.00077
15.	0.01	0.003
15.	0.0083	0.0003
15.	0.0062	0.00044
15.	0.0048	0.00048
15.37	0.00766	0.00055
16.	0.00474	0.00024
16.12	0.00704	0.00043
16.87	0.00677	0.00044
17.62	0.0073	0.00054
23.	0.0053	0.00053
43.	0.0142	0.0004
88.	0.2	0.02
94.	0.2	0.02
97.	0.14	0.014
111.	0.414	0.0414
214.	2.65	0.265
240.	2.3	0.23
273.	3.47	0.1
353.	15.23	1.523
353.	6.1	0.61
666.	35.7	3.57
1880.	430.	43.
3000.	380.	38.
